area_code,area,submissions
cs,Computer Science,35890
math+math-ph,Mathematics,33486
cond-mat,Condensed Matter Physics,14743
astro-ph,Astrophysics,14080
physics,Physics ,12544
hep,High Energy Physics,9598
quant-ph,Quantum Physics,5203
stat,Statistics,4423
gr-qc,General Relativity and Quantum Cosmology,2853
eess,Electrical Engineering and Systems Science,2318
q-bio,Quantitative Biology,1780
nucl,Nuclear Theory and Experiment,1760
nlin,Nonlinear Sciences,755
q-fin,Quantitative Finance ,727
econ,Economics,456
