Timestamp,Have you heard or used any of the R-package below?,Which linear mixed model software do you use most?,What do you find most difficult about fitting a linear mixed model in R?
3/15/2019 20:48:47,"lme4, nlme, glmm, brms, rstan",glmm,Accessing information on the options available.
3/15/2019 20:48:49,"lme4, nlme, glmm, brms, rstan, rstanarm",greta ,Interpreting outputs 
3/15/2019 20:51:04,"lme4, nlme, glmm, brms, rstan",rstanarm,access to estimate quantities
3/15/2019 20:51:15,"lme4, nlme, glmm, brms, rstan",lme4,
3/15/2019 20:57:24,lme4,lme4,
3/15/2019 20:58:38,"lme4, nlme, glmm, rstan, rstanarm",nlme,
3/15/2019 20:58:52,"lme4, nlme, glmm",lme4, Thinking about fitting generalised linear mixed models. Its both a code thing and a math thing for me
3/15/2019 20:59:40,"lme4, nlme, glmm, blme, brms, rstan, rstanarm",lme4,I always have to google the syntax for specifying the random effects!
3/15/2019 21:01:45,"lme4, nlme, MCMCglmm, brms, rstan",nlme,Switching between packages. Similar interface in lme4 and brms is nice.
3/15/2019 21:01:59,"lme4, nlme",lme4,Model diagnostics
3/15/2019 21:08:16,"lme4, nlme, MCMCglmm, blme, brms, rstan, rstanarm",lme4,The time it takes for models to converge...and sometimes they don't! Cryptic error messages don't help
3/15/2019 21:08:31,"lme4, nlme, MCMCglmm, brms, rstan, rstanarm",brms,Convergence :)
3/15/2019 21:11:51,"lme4, nlme, glmm, brms, rstan",lme4,
3/15/2019 21:13:59,"lme4, nlme, glmm, MCMCglmm, rstanarm",nlme,non-linear heterogeneous models
3/15/2019 21:19:51,lme4,lme4,"Honestly, the underlying statistics"
3/15/2019 21:25:39,"lme4, glmm, rstan",glmm,Preparing the data
3/15/2019 21:30:25,"lme4, nlme, asreml, MCMCglmm",lme4,Getting the syntax correct for the model I want to fit.
3/15/2019 21:31:32,"lme4, asreml, MCMCglmm",asreml,
3/15/2019 21:33:40,lme4,lme4,
3/15/2019 21:36:29,"lme4, nlme, brms, rstan, rstanarm",rstan,Good parametrization
3/15/2019 21:36:36,"lme4, nlme, glmm",lme4,Specifying the syntax correctly
3/15/2019 21:37:12,"lme4, nlme, glmm",lme4,Specifying the syntax correctly
3/15/2019 21:38:47,"lme4, nlme, glmm, MCMCglmm, brms, rstan, rstanarm",lme4,Assessing convergence and how seriously to take lmer warnings
3/15/2019 21:50:41,"lme4, nlme, glmm, brms, rstan",lme4,
3/15/2019 21:55:26,"lme4, glmm, rstan, rstanarm",Template Model Builder (TMB),
3/15/2019 21:56:47,"lme4, nlme, glmm",lme4,No clear examples and walk throughs for complex models
3/15/2019 21:59:23,"lme4, nlme, brms, rstan",lme4,selecting appropriate random effects structure; assess convergence
3/15/2019 22:03:36,"lme4, rstan",lme4,There is no easy consolidated way to see the different coefficients. Doing simple visualizations is difficult. 
3/15/2019 22:07:39,"lme4, nlme, glmm, MCMCglmm, brms, rstan",lme4,Best way to treat nested random  variables and binomial response variables. 
3/15/2019 22:10:28,"lme4, brms, rstan, rstanarm",rstan,
3/15/2019 22:12:32,"lme4, brms, rstan, rstanarm",INLA,
3/15/2019 22:27:58,"lme4, nlme, glmm, MCMCglmm, brms, rstan",lme4,Knowing how to deal with non-convergence/singular fit issues 
3/15/2019 22:29:37,"lme4, glmm",lme4,Convergence issues with large complex datasets
3/15/2019 22:56:49,"lme4, nlme, glmm",lme4,The ranef function is kind of cumbersome. Option to extract conditional means for non-linear models would be nice 
3/15/2019 23:00:51,"lme4, nlme, glmm",lme4,
3/15/2019 23:01:36,"lme4, nlme, glmm, MCMCglmm, blme, rstan, rstanarm",brms,
3/15/2019 23:03:28,"lme4, nlme, glmm, MCMCglmm, rstan",lme4,
3/15/2019 23:10:46,"lme4, nlme",lme4,Convergence issues in models with large N
3/15/2019 23:15:57,"lme4, brms, rstan, rstanarm",rstan,Understanding parameters in context of the data|model
3/15/2019 23:25:40,"lme4, nlme, MCMCglmm, rstan",lme4,Best practices for responding to and dealing with warnings/errors
3/15/2019 23:35:09,"lme4, nlme, asreml, glmm, MCMCglmm, blme, brms, rstan, rstanarm",lme4,Custom specification of correlation structure.
3/15/2019 23:40:52,"lme4, nlme, glmm",lme4,working with the object after fitting the model
